time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.fluid_pressure,.variance
1970/01/01/01:00:05.035000,224,5,34000000,map,107913.518127,0.0
1970/01/01/01:00:05.056000,225,5,55000000,map,107921.179779,0.0
1970/01/01/01:00:05.077000,226,5,76000000,map,107898.445405,0.0
1970/01/01/01:00:05.098000,227,5,97000000,map,107678.745819,0.0
1970/01/01/01:00:05.119000,228,5,118000000,map,107865.916542,0.0
1970/01/01/01:00:05.141000,229,5,139000000,map,107905.148372,0.0
1970/01/01/01:00:05.161000,230,5,160000000,map,107885.780159,0.0
1970/01/01/01:00:05.183000,231,5,181000000,map,107884.197283,0.0
1970/01/01/01:00:05.203000,232,5,202000000,map,107864.680049,0.0
1970/01/01/01:00:05.224000,233,5,223000000,map,107962.685706,0.0
1970/01/01/01:00:05.245000,234,5,244000000,map,107876.291531,0.0
1970/01/01/01:00:05.266000,235,5,265000000,map,107765.899292,0.0
1970/01/01/01:00:05.287000,236,5,286000000,map,107923.469594,0.0
1970/01/01/01:00:05.308000,237,5,307000000,map,107811.604371,0.0
1970/01/01/01:00:05.329000,238,5,328000000,map,107935.401391,0.0
1970/01/01/01:00:05.350000,239,5,349000000,map,107812.072287,0.0
1970/01/01/01:00:05.371000,240,5,370000000,map,107841.075039,0.0
1970/01/01/01:00:05.392000,241,5,391000000,map,107989.099057,0.0
1970/01/01/01:00:05.413000,242,5,412000000,map,107828.15553,0.0
1970/01/01/01:00:05.434000,243,5,433000000,map,107872.919243,0.0
1970/01/01/01:00:05.455000,244,5,454000000,map,107813.513816,0.0
1970/01/01/01:00:05.476000,245,5,475000000,map,108034.041417,0.0
1970/01/01/01:00:05.497000,246,5,496000000,map,107842.959514,0.0
1970/01/01/01:00:05.518000,247,5,517000000,map,107748.108992,0.0
1970/01/01/01:00:05.539000,248,5,538000000,map,107919.102439,0.0
1970/01/01/01:00:05.560000,249,5,559000000,map,107862.978441,0.0
1970/01/01/01:00:05.581000,250,5,580000000,map,108002.425875,0.0
1970/01/01/01:00:05.602000,251,5,601000000,map,107805.592373,0.0
1970/01/01/01:00:05.623000,252,5,622000000,map,107914.741483,0.0
1970/01/01/01:00:05.644000,253,5,643000000,map,107725.963927,0.0
1970/01/01/01:00:05.665000,254,5,664000000,map,107729.292395,0.0
1970/01/01/01:00:05.686000,255,5,685000000,map,107870.486002,0.0
1970/01/01/01:00:05.707000,256,5,706000000,map,107929.673382,0.0
1970/01/01/01:00:05.728000,257,5,727000000,map,107831.100174,0.0
1970/01/01/01:00:05.749000,258,5,748000000,map,107726.622196,0.0
1970/01/01/01:00:05.770000,259,5,769000000,map,107625.409141,0.0
1970/01/01/01:00:05.791000,260,5,790000000,map,107899.158356,0.0
1970/01/01/01:00:05.812000,261,5,811000000,map,107885.795681,0.0
1970/01/01/01:00:05.833000,262,5,832000000,map,107752.28283,0.0
1970/01/01/01:00:05.854000,263,5,853000000,map,107848.412912,0.0
1970/01/01/01:00:05.875000,264,5,874000000,map,107957.395037,0.0
1970/01/01/01:00:05.895000,265,5,895000000,map,107692.067046,0.0
1970/01/01/01:00:05.917000,266,5,916000000,map,107731.200465,0.0
1970/01/01/01:00:05.938000,267,5,937000000,map,107774.571618,0.0
1970/01/01/01:00:05.959000,268,5,958000000,map,107767.66089,0.0
1970/01/01/01:00:05.980000,269,5,979000000,map,107799.065055,0.0
1970/01/01/01:00:06.001000,270,6,0,map,107722.68015,0.0
